FS1_mean,FS1_std,FS1_skew,FS1_kurtosis,FS1_slope,PS1_skew,PS2_std,PS2_skew,PS2_kurtosis,PS2_slope,PS5_mean,PS6_mean,SE_mean,SE_std,SE_skew,SE_kurtosis,SE_max,TS4_mean,TS4_max
0.495101301565176,-0.1304427504511109,-0.5012846784755969,-0.6291430557001932,0.387167279759314,0.2658694654285361,-0.190038133187979,-0.4453759148193311,0.5088695705929864,-0.1339000047881114,1.1782192255386434,1.18066683760825,0.4319285294026961,-0.2026941464204597,-0.371695520083308,0.4089333719220542,-0.0639807533331839,-1.109099478849909,-0.8880466867638924
0.5004274118227682,-0.1790221644765921,-0.5610495708292198,-0.6797987478461459,0.4294953190985661,0.2749020749499464,-0.2110996847984645,-0.4489317923849242,0.516497985370786,-0.1768784383165189,0.8189000900854008,0.8192065530754492,0.4518470602505732,-0.1537625304237345,-0.3620345443537164,0.3934383617543697,0.0918796196108643,-0.7700169095414615,-0.6968364373715388
0.5035326955002257,-0.1366852130735875,-0.5423426423529775,-0.7081884793531644,0.4020219189908635,0.2815613129256025,-0.2274700218708212,-0.4431830584708191,0.5075907869166312,-0.2011104386673766,0.6373649042646478,0.6344103321907217,0.4750140270091955,-0.1196622240075637,-0.3681081471798172,0.4077700353499026,0.160258225381276,-0.6278656965417199,-0.5746538262733367
0.5055114261595612,-0.1053181067065874,-0.5100846843876565,-0.6419448413297469,0.3958788171274448,0.287167891376002,-0.2335346884684438,-0.4401486916891776,0.5046271960951236,-0.205656538901237,0.4781725416969224,0.4696693881494629,0.5031169046906101,-0.0677666223329625,-0.3695139108624547,0.4080795304431496,0.1791828525657782,-0.5127272644898178,-0.4704356272802069
0.4762113638515805,-0.1509633016042525,-0.530562136762502,-0.7191002443948623,0.4534961843264049,0.2967110447189613,-0.2632715039822307,-0.4428329718744807,0.5118412051353216,-0.2535566008259275,0.3392113410486075,0.3299091207729748,0.4652036017186241,-0.094199323351915,-0.3353288122944193,0.3448078867712952,0.2095336697484656,-0.4080604486174942,-0.3728617998875839
0.4846508276506588,-0.1863815365643946,-0.547400620439089,-0.648348981679296,0.405844598176978,0.3048215399374601,-0.2726525859379786,-0.44739968115776,0.518531713398203,-0.2856338259354102,0.2392360369176409,0.2320699571224352,0.4772670945280426,-0.0890389726136993,-0.3487983037169104,0.3692765024368364,0.1820394000653239,-0.3113218777851214,-0.2738114454726261
0.4842150549932187,-0.1458541604070808,-0.5022890940439941,-0.545629219606726,0.3861470793086798,0.2980578626098517,-0.2894262285967731,-0.4324151441162938,0.5001780281352121,-0.287916642333775,0.1225719550715695,0.1163994993534935,0.5025587541904825,-0.0588638756972457,-0.3627110385360117,0.3933286889914592,0.1645430466305971,-0.2224951033515362,-0.1930946349183251
0.4643179982490969,-0.187137932533059,-0.4973944684350136,-0.474890910600146,0.4085952682811912,0.2879075061475794,-0.2841521831145455,-0.4280710340899072,0.4963233792564863,-0.2352070689961151,0.0535246792238189,0.0467644526867798,0.4803127357570714,-0.0993726116551981,-0.359769839743502,0.3932501587788766,0.1934655900635142,-0.1451618169297031,-0.1209908986609762
0.4581445522687054,-0.1388799119918611,-0.4530165927194384,-0.4451080489708849,0.404230439546581,0.2914391253063342,-0.2954556528655301,-0.4221934090188916,0.488882222324044,-0.2546260534087807,-0.0324627488183398,-0.0405775246344411,0.4823518455842038,-0.0822177527311627,-0.3499102841312015,0.3740596168230304,0.2248876125585344,-0.0808188448653411,-0.050363689425963
0.4468515845498054,-0.1557479158729801,-0.4753283685151543,-0.5334710322646136,0.4204215250571447,0.2933094618841077,-0.3008934953308065,-0.4272991972835224,0.492920395964593,-0.2489925195186741,-0.1015134958902041,-0.1093756961867982,0.4672650375657599,-0.0957604391755306,-0.3394732661488684,0.3520738324708234,0.1750765655351772,-0.0151867105499267,0.013126972534432
