EPS1_mean,EPS1_max,FS1_mean,FS1_std,FS1_slope,PS1_max,PS3_mean,SE_mean,SE_std,SE_slope,SE_max
0.588187498484709,1.0235476094679266,0.495101301565176,-0.1304427504511109,0.387167279759314,1.004102560707445,0.9460113032577422,0.4319285294026961,-0.2026941464204597,0.2582148415827228,-0.0639807533331839
0.4875335699719761,0.9389320550098036,0.5004274118227682,-0.1790221644765921,0.4294953190985661,0.9377491885231496,0.885493824778085,0.4518470602505732,-0.1537625304237345,0.3610858981480628,0.0918796196108643
0.3307886516970105,0.7858181945617669,0.5035326955002257,-0.1366852130735875,0.4020219189908635,0.8382191302466828,0.8695699837442776,0.4750140270091955,-0.1196622240075637,0.3510751147230042,0.160258225381276
0.2171829375528569,0.5803232765920256,0.5055114261595612,-0.1053181067065874,0.3958788171274448,0.7221007289241542,0.7677274178506049,0.5031169046906101,-0.0677666223329625,0.3248078954683329,0.1791828525657782
0.1075630481748955,0.4634732251974754,0.4762113638515805,-0.1509633016042525,0.4534961843264049,0.8382191302466828,0.6729527026028057,0.4652036017186241,-0.094199323351915,0.4536727175843347,0.2095336697484656
0.0744766838276591,0.3990042313246117,0.4846508276506588,-0.1863815365643946,0.405844598176978,0.6225706706476876,0.6355387572596821,0.4772670945280426,-0.0890389726136993,0.397045720741551,0.1820394000653239
-0.0147968502608839,0.4191507919098799,0.4842150549932187,-0.1458541604070808,0.3861470793086798,0.4732755832329876,0.5355372738095323,0.5025587541904825,-0.0588638756972457,0.3436363813545038,0.1645430466305971
-0.0824664645450065,0.245890370876575,0.4643179982490969,-0.187137932533059,0.4085952682811912,0.4400988971408163,0.4831021604926169,0.4803127357570714,-0.0993726116551981,0.4196416022751665,0.1934655900635142
-0.1502322588081967,0.1733627527696113,0.4581445522687054,-0.1388799119918611,0.404230439546581,0.3903338680025831,0.4164982566955322,0.4823518455842038,-0.0822177527311627,0.4284928967026852,0.2248876125585344
-0.2042041281866473,0.0927765104285384,0.4468515845498054,-0.1557479158729801,0.4204215250571447,0.4235105540947543,0.3487699822760387,0.4672650375657599,-0.0957604391755306,0.4735618037579712,0.1750765655351772
-0.2264198971536536,0.0927765104285384,0.4460946313041042,-0.1740732380463109,0.4115687251897363,0.4235105540947543,0.3147040010169472,0.4796131871302457,-0.0831540514190456,0.4508345738613524,0.1436545430401569
-0.3147659491905595,-0.0281028530830708,0.4500633904324133,-0.1847983579339624,0.3691999075481355,0.2576271236339923,0.2876171913787741,0.4990182195180083,-0.0539209763788796,0.3846059361955071,0.1866812897520875
-0.3830993407949892,-0.1892753377652166,0.442916718850407,-0.1699543863458347,0.3841575503489509,0.2908038097261636,0.2488333536351848,0.4966330563807965,-0.0617607361115101,0.4235148692324462,0.2500609373982931
-0.4091311520299315,-0.2658322679892395,0.4521002241127411,-0.1491876559161756,0.346887118689251,0.1580970653575256,0.2155595275467973,0.5166892643520413,-0.0342610678440114,0.3494808173513876,0.2572023061471624
-0.4570156866771018,-0.2456857074039713,0.4557058393598498,-0.0856073586728399,0.3292287410360487,0.058567007081059,0.2008460890252854,0.5312942024387076,-0.0095285955913546,0.3398176541628988,0.2313148444325135
-0.4876438171932332,-0.3061253891597759,0.4370692953766923,-0.0945801074375807,0.3661398875898418,0.1249203792653544,0.1952473983451259,0.5049253123110234,-0.042145449441011,0.4002626233216422,0.2816614941120359
-0.5058674397052924,-0.3101547012768259,0.4368465671295573,-0.2212177567821013,0.3588826417570662,-0.0077863651032362,0.1605308836417548,0.5111226433641048,-0.0393552424942888,0.3937923954113746,0.2505965400544582
-0.5407884484418999,-0.3020960770427168,0.4271191530318271,-0.1659857125101858,0.3951466003154364,-0.0243747081493455,0.1656590460626255,0.5001159155015921,-0.0403047164872891,0.4794738011254785,0.3428987311335784
-0.5853355829704662,-0.3907409436178988,0.446969404564593,-0.1134137243172565,0.2851624478286766,-0.0077863651032362,0.1597301252820629,0.5367622168382896,0.0013374323744424,0.2804574413123992,0.2914808761417282
-0.6391616019581281,-0.3907409436178988,0.4359960034611476,-0.1947706922368798,0.324280080060526,-0.1736697955639982,0.1871259879400519,0.528122047096317,-0.0031585308505096,0.3834602236785702,0.3180824747312623
-0.6879925837232251,-0.5075909950124582,0.4257940813586492,-0.1007353394866934,0.3510440346062454,-0.1404931094718741,0.1874562180404532,0.5194874588593476,-0.025841715091143,0.4023923162476258,0.2934447525476662
-0.7278982440508631,-0.6324996706411175,0.4314962472798844,-0.2159136051099148,0.336528267104692,-0.0243747081493455,0.1757955880422964,0.5469093929306047,0.0166452012247058,0.406309554711485,0.3443270048833537
-0.7685999856136635,-0.6727927918116539,0.4244318883109503,-0.0877574514435808,0.3257766679815664,-0.0907280803336408,0.1514955498526037,0.5352291634646055,-0.0048026383004308,0.4091142951869802,0.3511113051947779
-0.783779714985475,-0.7130859129821903,0.420492180693137,-0.1462444233361555,0.3869661337174152,-0.1736697955639982,0.1559122947225077,0.5214577301247968,-0.0029243554312653,0.4655469115500365,0.3891390937824997
